source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
data_prices_cleaned,1729,house,Tunis,El Omrane Suprieur,El Omrane Suprieur,"Tunis,El Omrane Suprieur",100.0,3.0,,240000.0
data_prices_cleaned,1730,apartment,Tunis,El Manar 1,El Manar 1,"Tunis,El Manar 1",81.0,2.0,1.0,230000.0
data_prices_cleaned,1731,apartment,Sfax,Route Gremda,Route Gremda,"Sfax,Route GREMDA",127.0,3.0,1.0,170000.0
data_prices_cleaned,1733,apartment,Nabeul,Nabeul,Nabeul,"Nabeul,Nabeul",75.0,1.0,2.0,260000.0
data_prices_cleaned,1735,apartment,Nabeul,Klibia,Klibia,"Nabeul,Klibia",100.0,2.0,1.0,190000.0
data_prices_cleaned,1736,house,Sousse,Sousse,Sousse,"Sousse,Sousse",367.0,6.0,2.0,710000.0
data_prices_cleaned,1739,apartment,Ariana,Riadh Andalous,Riadh Andalous,"Ariana,Riadh Andalous",124.0,2.0,2.0,348000.0
data_prices_cleaned,1740,apartment,Ariana,Ghazela,Ghazela,"Ariana,Ghazela",113.3,1.0,2.0,298000.0
data_prices_cleaned,1741,apartment,Tunis,L Aouina,L Aouina,"Tunis,L Aouina",60.0,1.0,1.0,220000.0
data_prices_cleaned,1742,apartment,Nabeul,Hammamet Centre,Hammamet Centre,"Nabeul,Hammamet Centre",65.0,1.0,1.0,170000.0
data_prices_cleaned,1743,house,Ben Arous,Boumhel,Boumhel,"Ben Arous,Boumhel",373.0,8.0,5.0,795000.0
data_prices_cleaned,1747,house,Nabeul,Klibia,Klibia,"Nabeul,Klibia",260.0,3.0,2.0,330000.0
data_prices_cleaned,1750,apartment,Sousse,Chatt Mariem,Chatt Mariem,"Sousse,Chatt mariem",80.0,1.0,1.0,183000.0
data_prices_cleaned,1755,apartment,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",165.0,3.0,2.0,420000.0
data_prices_cleaned,1759,apartment,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",200.0,3.0,2.0,400000.0
data_prices_cleaned,1763,house,Sousse,Sousse Jawhara,Sousse Jawhara,"Sousse,Sousse Jawhara",303.0,0.0,0.0,300000.0
data_prices_cleaned,1764,apartment,Sousse,Khzema,Khzema,"Sousse,Khzema",180.0,2.0,1.0,259000.0
data_prices_cleaned,1767,apartment,Nabeul,Mrezga,Mrezga,"Nabeul,Mrezga",94.0,2.0,1.0,270000.0
data_prices_cleaned,1768,house,Tunis,Lac 2,Lac 2,"Tunis,Lac 2",540.0,4.0,4.0,3500000.0
data_prices_cleaned,1770,apartment,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",128.0,2.0,2.0,390000.0
data_prices_cleaned,1771,apartment,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",150.0,2.0,1.0,235000.0
data_prices_cleaned,1773,house,Tunis,Sidi Bou Said,Sidi Bou Said,"Tunis,Sidi Bou Said",263.0,4.0,0.0,1200000.0
data_prices_cleaned,1777,apartment,Tunis,El Manar 1,El Manar 1,"Tunis,El Manar 1",112.0,4.0,1.0,215000.0
data_prices_cleaned,1779,apartment,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",73.0,1.0,1.0,239999.0
data_prices_cleaned,1784,house,Ben Arous,Fouchana,Fouchana,"Ben Arous,Fouchana",188.0,3.0,2.0,375000.0
data_prices_cleaned,1786,house,Nabeul,Hammamet,Hammamet,"Nabeul,Hammamet",303.0,3.0,3.0,690000.0
data_prices_cleaned,1793,house,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",600.0,1.0,1.0,380000.0
data_prices_cleaned,1795,apartment,Tunis,Sidi Daoud,Sidi Daoud,"Tunis,Sidi Daoud",136.0,3.0,3.0,535000.0
data_prices_cleaned,1797,house,Tunis,La Marsa,La Marsa,"Tunis,La Marsa",600.0,8.0,6.0,2200000.0
data_prices_cleaned,1799,apartment,Ariana,Ennasr,Ennasr,"Ariana,Ennasr",130.0,2.0,1.0,299000.0
data_prices_cleaned,1800,house,Tunis,Mutuelleville,Mutuelleville,"Tunis,Mutuelleville",467.0,6.0,2.0,1550000.0
data_prices_cleaned,1802,apartment,Nabeul,Mrezga,Mrezga,"Nabeul,Mrezga",104.0,2.0,2.0,345000.0
data_prices_cleaned,1807,apartment,Tunis,L Aouina,L Aouina,"Tunis,L Aouina",124.0,3.0,1.0,295000.0
data_prices_cleaned,1810,apartment,Ariana,Cite Ennkhilet,Cite Ennkhilet,"Ariana,Cite Ennkhilet",88.0,2.0,1.0,174000.0
data_prices_cleaned,1813,apartment,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",230.0,3.0,1.0,240000.0
data_prices_cleaned,1814,house,Ben Arous,El Mourouj 1,El Mourouj 1,"Ben Arous,El Mourouj 1",434.0,8.0,4.0,900000.0
data_prices_cleaned,1815,apartment,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",105.0,2.0,1.0,235000.0
data_prices_cleaned,1816,apartment,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",120.0,2.0,1.0,150000.0
data_prices_cleaned,1817,house,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",500.0,4.0,2.0,1800000.0
