source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
tunisia_real_estate,6437,land,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Hammam El Ghezaz,4000.0,0.0,0.0,130000.0
tunisia_real_estate,6439,house,Nabeul,Hammamet,Hammamet,Hammamet,487.0,,,770000.0
tunisia_real_estate,6441,house,Nabeul,Beni Khiar,Beni Khiar,Beni Khiar,1660.0,,,3800000.0
tunisia_real_estate,6442,land,Sousse,Hergla,Hergla,Hergla,407.0,0.0,0.0,183150.0
tunisia_real_estate,6444,land,Sousse,Kalaa El Kebira,Kalaa El Kebira,Kalaa El Kebira,15000.0,0.0,0.0,550000.0
tunisia_real_estate,6452,land,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Hammam El Ghezaz,2000.0,0.0,0.0,65000.0
tunisia_real_estate,6455,house,Tunis,El Kram,El Kram,El Kram,240.0,,,870000.0
tunisia_real_estate,6456,land,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Hammam El Ghezaz,247.0,0.0,0.0,90000.0
tunisia_real_estate,6462,land,Sousse,Akouda,Akouda,Akouda,1639.0,0.0,0.0,360580.0
tunisia_real_estate,6463,apartment,Manouba,Mannouba,Mannouba,Mannouba,120.0,,,240000.0
tunisia_real_estate,6466,apartment,Tunis,La Marsa,La Marsa,La Marsa,90.0,,,200000.0
tunisia_real_estate,6467,house,Nabeul,Hammamet,Hammamet,Hammamet,300.0,,,780000.0
tunisia_real_estate,6470,land,Ariana,La Soukra,La Soukra,La Soukra,905.0,0.0,0.0,996000.0
tunisia_real_estate,6471,house,Bizerte,Bizerte Nord,Bizerte Nord,Bizerte Nord,591.0,,,880000.0
tunisia_real_estate,6472,house,Tunis,El Ouerdia,El Ouerdia,El Ouerdia,225.0,,,320000.0
tunisia_real_estate,6473,apartment,Ben Arous,Ben Arous,Ben Arous,Ben Arous,84.0,,,160000.0
tunisia_real_estate,6474,land,Sousse,Sousse Riadh,Sousse Riadh,Sousse Riadh,207.0,0.0,0.0,68000.0
tunisia_real_estate,6477,house,Nabeul,Hammamet,Hammamet,Hammamet,350.0,,,980000.0
tunisia_real_estate,6482,land,Ben Arous,Fouchana,Fouchana,Fouchana,230.0,0.0,0.0,135000.0
tunisia_real_estate,6483,house,Ben Arous,Ezzahra,Ezzahra,Ezzahra,250.0,,,625000.0
tunisia_real_estate,6487,apartment,Ben Arous,Rades,Rades,Rades,95.0,,,195000.0
tunisia_real_estate,6488,land,Nabeul,Hammamet,Hammamet,Hammamet,105.0,0.0,0.0,32000.0
tunisia_real_estate,6490,house,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,820.0,,,1140000.0
tunisia_real_estate,6494,land,Nabeul,Hammamet,Hammamet,Hammamet,353.0,0.0,0.0,200500.0
tunisia_real_estate,6497,house,Nabeul,Hammamet,Hammamet,Hammamet,310.0,,,1000000.0
tunisia_real_estate,6498,house,Sousse,Sousse Jaouhara,Sousse Jaouhara,Sousse Jaouhara,160.0,,,450000.0
tunisia_real_estate,6499,apartment,Tunis,Cite El Khadra,Cite El Khadra,Cite El Khadra,110.0,,,200000.0
tunisia_real_estate,6504,apartment,Ariana,La Soukra,La Soukra,La Soukra,75.0,,,250000.0
tunisia_real_estate,6505,apartment,Ariana,La Soukra,La Soukra,La Soukra,175.0,,,485000.0
tunisia_real_estate,6506,land,Nabeul,Hammamet,Hammamet,Hammamet,570.0,0.0,0.0,850000.0
tunisia_real_estate,6507,land,Zaghouan,Zaghouan,Zaghouan,Zaghouan,50000.0,0.0,0.0,500000.0
tunisia_real_estate,6509,land,Ariana,Raoued,Raoued,Raoued,1494.0,0.0,0.0,1419300.0
tunisia_real_estate,6511,house,Nabeul,Hammamet,Hammamet,Hammamet,603.0,,,850000.0
tunisia_real_estate,6513,house,Ben Arous,Hammam Chatt,Hammam Chatt,Hammam Chatt,623.0,,,900000.0
tunisia_real_estate,6514,apartment,Nabeul,Hammamet,Hammamet,Hammamet,145.0,,,650000.0
tunisia_real_estate,6517,land,Ben Arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Bou Mhel El Bassatine,457.0,0.0,0.0,319000.0
